"CellID","seurat_cluster.projected"
"s_008um_00594_00250-1","0"
"s_008um_00549_00222-1","0"
"s_008um_00543_00215-1","0"
"s_008um_00623_00165-1","1"
"s_008um_00622_00168-1","0"
"s_008um_00554_00215-1","0"
"s_008um_00567_00199-1","2"
"s_008um_00583_00167-1","2"
"s_008um_00575_00185-1","2"
"s_008um_00633_00264-1","2"
"s_008um_00635_00242-1","0"
"s_008um_00625_00243-1","0"
"s_008um_00620_00270-1","2"
"s_008um_00654_00216-1","2"
"s_008um_00521_00209-1","0"
"s_008um_00518_00143-1","0"
"s_008um_00570_00195-1","1"
"s_008um_00578_00245-1","0"
"s_008um_00648_00216-1","1"
"s_008um_00609_00156-1","0"
"s_008um_00592_00144-1","0"
"s_008um_00536_00155-1","1"
"s_008um_00596_00160-1","0"
"s_008um_00594_00234-1","1"
"s_008um_00604_00178-1","0"
"s_008um_00597_00268-1","0"
"s_008um_00578_00137-1","0"
"s_008um_00588_00152-1","0"
"s_008um_00544_00263-1","0"
"s_008um_00603_00198-1","1"
"s_008um_00583_00173-1","2"
"s_008um_00623_00187-1","1"
"s_008um_00574_00203-1","1"
"s_008um_00551_00212-1","0"
"s_008um_00651_00235-1","1"
"s_008um_00521_00204-1","0"
"s_008um_00588_00244-1","0"
"s_008um_00537_00218-1","1"
"s_008um_00569_00256-1","0"
"s_008um_00516_00139-1","0"
"s_008um_00594_00262-1","0"
"s_008um_00612_00175-1","0"
"s_008um_00552_00200-1","0"
"s_008um_00636_00177-1","1"
"s_008um_00553_00224-1","0"
"s_008um_00519_00189-1","0"
"s_008um_00611_00136-1","1"
"s_008um_00518_00139-1","0"
"s_008um_00601_00230-1","0"
"s_008um_00580_00171-1","2"
"s_008um_00598_00157-1","0"
"s_008um_00654_00253-1","1"
"s_008um_00586_00266-1","0"
"s_008um_00549_00193-1","0"
"s_008um_00515_00224-1","0"
"s_008um_00638_00238-1","1"
"s_008um_00634_00237-1","0"
"s_008um_00523_00176-1","0"
"s_008um_00595_00177-1","0"
"s_008um_00623_00190-1","2"
"s_008um_00527_00172-1","0"
"s_008um_00599_00182-1","1"
"s_008um_00599_00209-1","2"
"s_008um_00521_00159-1","1"
"s_008um_00622_00227-1","0"
"s_008um_00520_00252-1","0"
"s_008um_00640_00208-1","0"
"s_008um_00582_00199-1","1"
"s_008um_00543_00269-1","0"
"s_008um_00616_00169-1","0"
"s_008um_00550_00245-1","1"
"s_008um_00598_00155-1","0"
"s_008um_00655_00189-1","1"
"s_008um_00554_00153-1","0"
"s_008um_00529_00246-1","0"
"s_008um_00547_00242-1","1"
"s_008um_00543_00146-1","1"
"s_008um_00649_00269-1","1"
"s_008um_00577_00170-1","2"
"s_008um_00598_00204-1","2"
"s_008um_00584_00245-1","0"
"s_008um_00595_00148-1","0"
"s_008um_00546_00208-1","0"
"s_008um_00626_00176-1","0"
"s_008um_00565_00266-1","0"
"s_008um_00564_00192-1","2"
"s_008um_00623_00239-1","0"
"s_008um_00583_00160-1","1"
"s_008um_00568_00142-1","0"
"s_008um_00515_00185-1","0"
"s_008um_00572_00155-1","0"
"s_008um_00639_00141-1","0"
"s_008um_00533_00236-1","0"
"s_008um_00552_00168-1","0"
"s_008um_00546_00179-1","0"
"s_008um_00619_00161-1","2"
"s_008um_00533_00184-1","0"
"s_008um_00527_00209-1","1"
"s_008um_00515_00181-1","0"
"s_008um_00643_00228-1","1"
"s_008um_00638_00226-1","1"
"s_008um_00631_00240-1","0"
"s_008um_00541_00189-1","1"
"s_008um_00625_00261-1","1"
"s_008um_00583_00222-1","0"
"s_008um_00587_00273-1","0"
"s_008um_00618_00272-1","2"
"s_008um_00603_00255-1","0"
"s_008um_00552_00184-1","0"
"s_008um_00520_00156-1","2"
"s_008um_00537_00138-1","1"
"s_008um_00612_00222-1","0"
"s_008um_00578_00172-1","2"
"s_008um_00537_00185-1","1"
"s_008um_00614_00173-1","0"
"s_008um_00601_00255-1","2"
"s_008um_00558_00239-1","1"
"s_008um_00527_00171-1","1"
"s_008um_00611_00255-1","2"
"s_008um_00572_00255-1","0"
"s_008um_00606_00187-1","2"
"s_008um_00543_00196-1","0"
"s_008um_00523_00267-1","0"
"s_008um_00581_00154-1","0"
"s_008um_00567_00259-1","0"
"s_008um_00587_00242-1","0"
"s_008um_00588_00153-1","0"
"s_008um_00544_00140-1","1"
"s_008um_00536_00177-1","1"
"s_008um_00597_00144-1","0"
"s_008um_00593_00139-1","0"
"s_008um_00525_00249-1","0"
